2026-03-01 10:42:51 | INFO | laptopguardian | sample cpu=11.1 ram=81.9 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:57 | INFO | laptopguardian | sample cpu=7.3 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:02 | INFO | laptopguardian | sample cpu=9.7 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:07 | INFO | laptopguardian | sample cpu=11.4 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:12 | INFO | laptopguardian | sample cpu=9.0 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:18 | INFO | laptopguardian | sample cpu=16.9 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:23 | INFO | laptopguardian | sample cpu=15.5 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:28 | INFO | laptopguardian | sample cpu=9.8 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:33 | INFO | laptopguardian | sample cpu=13.6 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:39 | INFO | laptopguardian | sample cpu=10.0 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:44 | INFO | laptopguardian | sample cpu=5.1 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:49 | INFO | laptopguardian | sample cpu=8.2 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:43:55 | INFO | laptopguardian | sample cpu=14.0 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:00 | INFO | laptopguardian | sample cpu=8.5 ram=82.0 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:05 | INFO | laptopguardian | sample cpu=6.6 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:10 | INFO | laptopguardian | sample cpu=11.3 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:16 | INFO | laptopguardian | sample cpu=6.5 ram=81.6 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:21 | INFO | laptopguardian | sample cpu=10.8 ram=81.7 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:26 | INFO | laptopguardian | sample cpu=8.9 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:31 | INFO | laptopguardian | sample cpu=13.4 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:36 | INFO | laptopguardian | sample cpu=8.2 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:42 | INFO | laptopguardian | sample cpu=8.2 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:47 | INFO | laptopguardian | sample cpu=6.6 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:52 | INFO | laptopguardian | sample cpu=4.3 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:44:57 | INFO | laptopguardian | sample cpu=6.2 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:03 | INFO | laptopguardian | sample cpu=13.4 ram=81.6 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:08 | INFO | laptopguardian | sample cpu=4.3 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:13 | INFO | laptopguardian | sample cpu=6.6 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:18 | INFO | laptopguardian | sample cpu=6.2 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:23 | INFO | laptopguardian | sample cpu=6.1 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:28 | INFO | laptopguardian | sample cpu=3.9 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:33 | INFO | laptopguardian | sample cpu=5.0 ram=81.6 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:38 | INFO | laptopguardian | sample cpu=1.9 ram=81.6 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:43 | INFO | laptopguardian | sample cpu=7.5 ram=81.6 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:48 | INFO | laptopguardian | sample cpu=4.6 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:54 | INFO | laptopguardian | sample cpu=3.6 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:45:59 | INFO | laptopguardian | sample cpu=4.3 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:04 | INFO | laptopguardian | sample cpu=21.5 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:09 | INFO | laptopguardian | sample cpu=2.8 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:15 | INFO | laptopguardian | sample cpu=2.7 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:20 | INFO | laptopguardian | sample cpu=5.4 ram=81.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:25 | INFO | laptopguardian | sample cpu=3.5 ram=81.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:30 | INFO | laptopguardian | sample cpu=4.7 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:35 | INFO | laptopguardian | sample cpu=3.5 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:40 | INFO | laptopguardian | sample cpu=13.2 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:46 | INFO | laptopguardian | sample cpu=9.4 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:51 | INFO | laptopguardian | sample cpu=2.3 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:46:56 | INFO | laptopguardian | sample cpu=3.5 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:01 | INFO | laptopguardian | sample cpu=2.6 ram=81.7 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:06 | INFO | laptopguardian | sample cpu=2.7 ram=81.7 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:11 | INFO | laptopguardian | sample cpu=2.3 ram=81.7 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:16 | INFO | laptopguardian | sample cpu=9.0 ram=81.7 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:22 | INFO | laptopguardian | sample cpu=1.5 ram=81.6 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:27 | INFO | laptopguardian | sample cpu=2.0 ram=81.6 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:32 | INFO | laptopguardian | sample cpu=2.4 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:37 | INFO | laptopguardian | sample cpu=3.4 ram=81.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:47:42 | INFO | laptopguardian | sample cpu=2.7 ram=81.3 temp=-1.0 risk=0 (normal)
